{'loss': 1.0655, 'learning_rate': 1.9006388421463322e-05, 'epoch': 0.51}
{'loss': 1.1857, 'learning_rate': 1.899479656262183e-05, 'epoch': 0.51}
{'loss': 1.0114, 'learning_rate': 1.898314105486028e-05, 'epoch': 0.51}
{'loss': 1.0709, 'learning_rate': 1.8971421980655295e-05, 'epoch': 0.51}
{'loss': 1.0069, 'learning_rate': 1.8959639422933316e-05, 'epoch': 0.52}
{'loss': 1.0739, 'learning_rate': 1.894779346506999e-05, 'epoch': 0.52}
{'loss': 1.0967, 'learning_rate': 1.893588419088962e-05, 'epoch': 0.52}
{'loss': 1.1108, 'learning_rate': 1.892391168466452e-05, 'epoch': 0.52}
{'loss': 1.1078, 'learning_rate': 1.891187603111447e-05, 'epoch': 0.53}
{'loss': 0.9938, 'learning_rate': 1.8899777315406073e-05, 'epoch': 0.53}
{'loss': 1.0722, 'learning_rate': 1.8887615623152188e-05, 'epoch': 0.53}
{'loss': 1.1117, 'learning_rate': 1.88753910404113e-05, 'epoch': 0.53}
{'loss': 1.0164, 'learning_rate': 1.8863103653686917e-05, 'epoch': 0.54}
{'loss': 1.0505, 'learning_rate': 1.8850753549926967e-05, 'epoch': 0.54}
{'loss': 1.0823, 'learning_rate': 1.8838340816523175e-05, 'epoch': 0.54}
{'loss': 1.1317, 'learning_rate': 1.8825865541310438e-05, 'epoch': 0.54}
{'loss': 1.146, 'learning_rate': 1.8813327812566217e-05, 'epoch': 0.55}
{'loss': 0.9932, 'learning_rate': 1.880072771900991e-05, 'epoch': 0.55}
{'loss': 1.1463, 'learning_rate': 1.878806534980221e-05, 'epoch': 0.55}
{'loss': 0.9859, 'learning_rate': 1.8775340794544497e-05, 'epoch': 0.55}
{'loss': 1.0701, 'learning_rate': 1.876255414327818e-05, 'epoch': 0.56}
{'loss': 1.1845, 'learning_rate': 1.8749705486484074e-05, 'epoch': 0.56}
{'loss': 1.0212, 'learning_rate': 1.8736794915081765e-05, 'epoch': 0.56}
{'loss': 1.0278, 'learning_rate': 1.8723822520428954e-05, 'epoch': 0.56}
{'loss': 1.0421, 'learning_rate': 1.8710788394320807e-05, 'epoch': 0.57}
{'loss': 1.0741, 'learning_rate': 1.8697692628989327e-05, 'epoch': 0.57}
{'loss': 1.0779, 'learning_rate': 1.868453531710268e-05, 'epoch': 0.57}
{'loss': 1.1171, 'learning_rate': 1.8671316551764552e-05, 'epoch': 0.57}
{'loss': 1.0904, 'learning_rate': 1.865803642651348e-05, 'epoch': 0.58}
{'loss': 1.1407, 'learning_rate': 1.8644695035322203e-05, 'epoch': 0.58}
{'loss': 1.0967, 'learning_rate': 1.8631292472596978e-05, 'epoch': 0.58}
{'loss': 1.0617, 'learning_rate': 1.8617828833176935e-05, 'epoch': 0.58}
{'loss': 1.0464, 'learning_rate': 1.860430421233339e-05, 'epoch': 0.59}
{'loss': 1.0384, 'learning_rate': 1.859071870576918e-05, 'epoch': 0.59}
{'loss': 1.0318, 'learning_rate': 1.857707240961797e-05, 'epoch': 0.59}
{'loss': 1.0799, 'learning_rate': 1.8563365420443594e-05, 'epoch': 0.59}
{'loss': 1.072, 'learning_rate': 1.854959783523936e-05, 'epoch': 0.6}
{'loss': 1.0371, 'learning_rate': 1.853576975142736e-05, 'epoch': 0.6}
{'loss': 1.117, 'learning_rate': 1.852188126685779e-05, 'epoch': 0.6}
{'loss': 0.9207, 'learning_rate': 1.8507932479808254e-05, 'epoch': 0.6}
{'loss': 1.019, 'learning_rate': 1.8493923488983066e-05, 'epoch': 0.61}
{'loss': 1.0774, 'learning_rate': 1.847985439351256e-05, 'epoch': 0.61}
{'loss': 1.1052, 'learning_rate': 1.846572529295237e-05, 'epoch': 0.61}
{'loss': 1.1474, 'learning_rate': 1.845153628728274e-05, 'epoch': 0.61}
{'loss': 1.1455, 'learning_rate': 1.8437287476907828e-05, 'epoch': 0.62}
{'loss': 1.0342, 'learning_rate': 1.842297896265497e-05, 'epoch': 0.62}
{'loss': 1.0391, 'learning_rate': 1.8408610845773974e-05, 'epoch': 0.62}
{'loss': 1.0393, 'learning_rate': 1.8394183227936418e-05, 'epoch': 0.62}
{'loss': 1.0617, 'learning_rate': 1.8379696211234918e-05, 'epoch': 0.63}
{'loss': 1.1075, 'learning_rate': 1.8365149898182403e-05, 'epoch': 0.63}
{'loss': 1.0236, 'learning_rate': 1.8350544391711396e-05, 'epoch': 0.63}
{'loss': 1.0055, 'learning_rate': 1.833587979517329e-05, 'epoch': 0.63}
{'loss': 1.0679, 'learning_rate': 1.8321156212337604e-05, 'epoch': 0.63}
{'loss': 1.0689, 'learning_rate': 1.830637374739126e-05, 'epoch': 0.64}
{'loss': 1.0569, 'learning_rate': 1.829153250493783e-05, 'epoch': 0.64}
{'loss': 1.0664, 'learning_rate': 1.827663258999683e-05, 'epoch': 0.64}
{'loss': 1.0111, 'learning_rate': 1.8261674108002925e-05, 'epoch': 0.64}
{'loss': 1.0479, 'learning_rate': 1.824665716480524e-05, 'epoch': 0.65}
{'loss': 1.0281, 'learning_rate': 1.823158186666656e-05, 'epoch': 0.65}
{'loss': 1.1007, 'learning_rate': 1.821644832026261e-05, 'epoch': 0.65}
{'loss': 1.0598, 'learning_rate': 1.82012566326813e-05, 'epoch': 0.65}
{'loss': 1.0928, 'learning_rate': 1.8186006911421937e-05, 'epoch': 0.66}
{'loss': 1.1239, 'learning_rate': 1.817069926439451e-05, 'epoch': 0.66}
{'loss': 1.0698, 'learning_rate': 1.8155333799918883e-05, 'epoch': 0.66}
{'loss': 1.003, 'learning_rate': 1.8139910626724058e-05, 'epoch': 0.66}
{'loss': 1.1101, 'learning_rate': 1.8124429853947387e-05, 'epoch': 0.67}
{'loss': 1.0417, 'learning_rate': 1.8108891591133812e-05, 'epoch': 0.67}
{'loss': 1.0385, 'learning_rate': 1.809329594823509e-05, 'epoch': 0.67}
{'loss': 1.0973, 'learning_rate': 1.8077643035609006e-05, 'epoch': 0.67}
{'loss': 1.0585, 'learning_rate': 1.806193296401859e-05, 'epoch': 0.68}
{'loss': 1.1574, 'learning_rate': 1.804616584463136e-05, 'epoch': 0.68}
{'loss': 1.0568, 'learning_rate': 1.803034178901849e-05, 'epoch': 0.68}
{'loss': 1.0496, 'learning_rate': 1.8014460909154058e-05, 'epoch': 0.68}
{'loss': 1.0562, 'learning_rate': 1.799852331741425e-05, 'epoch': 0.69}
{'loss': 1.0929, 'learning_rate': 1.7982529126576543e-05, 'epoch': 0.69}
{'loss': 1.1354, 'learning_rate': 1.7966478449818925e-05, 'epoch': 0.69}
{'loss': 1.1322, 'learning_rate': 1.7950371400719087e-05, 'epoch': 0.69}
{'loss': 1.043, 'learning_rate': 1.7934208093253625e-05, 'epoch': 0.7}
{'loss': 1.096, 'learning_rate': 1.7917988641797227e-05, 'epoch': 0.7}
{'loss': 1.0618, 'learning_rate': 1.7901713161121873e-05, 'epoch': 0.7}
{'loss': 1.0488, 'learning_rate': 1.7885381766396008e-05, 'epoch': 0.7}
{'loss': 1.0682, 'learning_rate': 1.786899457318374e-05, 'epoch': 0.71}
{'loss': 1.0234, 'learning_rate': 1.7852551697444017e-05, 'epoch': 0.71}
{'loss': 1.0365, 'learning_rate': 1.783605325552981e-05, 'epoch': 0.71}
{'loss': 1.0917, 'learning_rate': 1.7819499364187282e-05, 'epoch': 0.71}
{'loss': 1.0341, 'learning_rate': 1.780289014055497e-05, 'epoch': 0.72}
{'loss': 0.9934, 'learning_rate': 1.7786225702162955e-05, 'epoch': 0.72}
{'loss': 1.1472, 'learning_rate': 1.7769506166932026e-05, 'epoch': 0.72}
{'loss': 1.0639, 'learning_rate': 1.7752731653172847e-05, 'epoch': 0.72}
{'loss': 1.0742, 'learning_rate': 1.7735902279585118e-05, 'epoch': 0.73}
{'loss': 1.0606, 'learning_rate': 1.7719018165256745e-05, 'epoch': 0.73}
{'loss': 1.0911, 'learning_rate': 1.7702079429662986e-05, 'epoch': 0.73}
{'loss': 0.8917, 'learning_rate': 1.7685086192665605e-05, 'epoch': 0.73}
{'loss': 1.0105, 'learning_rate': 1.7668038574512045e-05, 'epoch': 0.74}
{'loss': 1.0275, 'learning_rate': 1.7650936695834536e-05, 'epoch': 0.74}
{'loss': 1.0492, 'learning_rate': 1.763378067764929e-05, 'epoch': 0.74}
{'loss': 0.9955, 'learning_rate': 1.7616570641355602e-05, 'epoch': 0.74}
{'loss': 0.9999, 'learning_rate': 1.759930670873502e-05, 'epoch': 0.75}
{'loss': 1.0662, 'learning_rate': 1.758198900195047e-05, 'epoch': 0.75}
{'loss': 1.0196, 'learning_rate': 1.7564617643545395e-05, 'epoch': 0.75}
{'loss': 1.0305, 'learning_rate': 1.7547192756442887e-05, 'epoch': 0.75}
{'loss': 1.0531, 'learning_rate': 1.7529714463944815e-05, 'epoch': 0.76}
{'loss': 1.1111, 'learning_rate': 1.751218288973096e-05, 'epoch': 0.76}
{'loss': 1.0452, 'learning_rate': 1.7494598157858127e-05, 'epoch': 0.76}
{'loss': 1.0429, 'learning_rate': 1.7476960392759284e-05, 'epoch': 0.76}
{'loss': 1.0563, 'learning_rate': 1.7459269719242665e-05, 'epoch': 0.77}
{'loss': 1.111, 'learning_rate': 1.74415262624909e-05, 'epoch': 0.77}
{'loss': 1.1037, 'learning_rate': 1.742373014806012e-05, 'epoch': 0.77}
{'loss': 1.1059, 'learning_rate': 1.740588150187907e-05, 'epoch': 0.77}
{'loss': 1.1298, 'learning_rate': 1.7387980450248222e-05, 'epoch': 0.78}
{'loss': 1.0589, 'learning_rate': 1.7370027119838884e-05, 'epoch': 0.78}
{'loss': 1.0855, 'learning_rate': 1.735202163769229e-05, 'epoch': 0.78}
{'loss': 1.0795, 'learning_rate': 1.7333964131218714e-05, 'epoch': 0.78}
{'loss': 1.0897, 'learning_rate': 1.7315854728196568e-05, 'epoch': 0.78}
{'loss': 1.0448, 'learning_rate': 1.729769355677149e-05, 'epoch': 0.79}
{'loss': 1.0334, 'learning_rate': 1.7279480745455433e-05, 'epoch': 0.79}
